trader_name,ticker,transaction_type,transaction_date,shares,value,price,company,role,filing_date,source,section,x,owned,δown,1d,1w,1m,6m,page,scraped_at
Anderman Jonathan,CMPX,P - Purchase,2026-04-29,25000,"+$47,250",$1.89,"Compass Therapeutics, Inc.",GC,2026-04-30 16:00:25,openinsider,top_officer_month,A,196000,+15%,,,,,1,2026-05-01T08-03-46Z
Doane Thomas,AVBC,P - Purchase,2026-04-28,2040,"+$43,166",$21.16,"Avidia Bancorp, Inc.",EVP- HR,2026-04-29 15:25:12,openinsider,top_officer_month,,18732,+12%,,,,,1,2026-05-01T08-03-46Z
Winn Walter Timothy,SLND,P - Purchase,2026-03-31,29177,"+$42,890",$1.47,"Southland Holdings, Inc.","CO-COO, EVP",2026-04-02 20:00:07,openinsider,top_officer_month,,1950721,+2%,,,,,1,2026-05-01T08-03-46Z
Wu Junhua,BZUN,P - Purchase,2026-04-10,16456,"+$40,492",$2.46,Baozun Inc.,Chief Strategy Officer,2026-04-14 07:47:08,openinsider,top_officer_month,M,138770,+13%,,,,,1,2026-05-01T08-03-46Z
Ripp Ryan,FROPX,P - Purchase,2026-04-09,2742,"+$40,000",$14.59,Flat Rock Opportunity Fund,"CFO, Treasurer, Secretary",2026-04-10 19:12:33,openinsider,top_officer_month,,18114,+18%,,,,,1,2026-05-01T08-03-46Z
Ripp Ryan,FRBBX,P - Purchase,2026-04-09,1866,"+$40,000",$21.44,Flat Rock Enhanced Income Fund,"CFO, Treasurer, Secretary",2026-04-10 19:12:04,openinsider,top_officer_month,,19625,+11%,,,,,1,2026-05-01T08-03-46Z
Canup Edward G,CBAN,P - Purchase,2026-04-24,2000,"+$39,770",$19.89,Colony Bankcorp Inc,CHIEF BANKING OFFICER,2026-04-29 16:46:22,openinsider,top_officer_month,M,39461,+5%,,,,,1,2026-05-01T08-03-46Z
Jackson Jason Dale,LCFY,P - Purchase,2026-04-02,9285,"+$38,997",$4.20,Locafy Ltd,COO,2026-04-07 12:28:02,openinsider,top_officer_month,,11050,+526%,,,,,1,2026-05-01T08-03-46Z
Orn Jonsson Sigurgeir,BETR,P - Purchase,2026-04-08,1000,"+$36,089",$36.09,Better Home & Finance Holding Co,CTO,2026-04-08 16:09:27,openinsider,top_officer_month,,3497,+40%,,,,,1,2026-05-01T08-03-46Z
Dakos Andrew,SWZ,P - Purchase,2026-04-07,6000,"+$35,800",$5.97,Total Return Securities Fund,"Pres, CEO",2026-04-09 16:06:16,openinsider,top_officer_month,M,133735,+5%,,,,,1,2026-05-01T08-03-46Z
Caldwell Christopher L.,CMTV,P - Purchase,2026-04-06,1000,"+$35,299",$35.30,Community Bancorp /Vt,"Pres, CEO, Dir of Company, Ban",2026-04-06 21:11:53,openinsider,top_officer_month,,12000,+9%,,,,,1,2026-05-01T08-03-46Z
Dixon Robert E,MKZR,P - Purchase,2026-04-06,10000,"+$34,972",$3.50,"Mackenzie Realty Capital, Inc.","CEO, Pres",2026-04-07 15:19:10,openinsider,top_officer_month,,146665,+7%,,,,,1,2026-05-01T08-03-46Z
Iyer Sadasivam,EFOR,P - Purchase,2026-04-24,1725,"+$33,289",$19.30,Everforth Inc,Pres,2026-04-27 07:53:37,openinsider,top_officer_month,,60795,+3%,,,,,1,2026-05-01T08-03-46Z
Peduzzi Michael D,CCNE,P - Purchase,2026-04-24,1000,"+$30,350",$30.35,Cnb Financial Corp/Pa,"Pres, CEO",2026-04-27 14:48:57,openinsider,top_officer_month,,58314,+2%,,,,,1,2026-05-01T08-03-46Z
Hand Joseph Thomas,YORW,P - Purchase,2026-04-16,1052,"+$29,982",$28.50,York Water Co,"CEO, Pres",2026-04-17 09:07:17,openinsider,top_officer_month,,41433,+3%,,,,,1,2026-05-01T08-03-46Z
McCaffery John Martin Jr,NWFL,P - Purchase,2026-04-30,1000,"+$29,440",$29.44,Norwood Financial Corp,"EVP, CFO",2026-04-30 16:13:40,openinsider,top_officer_month,,9504,+12%,,,,,1,2026-05-01T08-03-46Z
