trader_name,ticker,transaction_type,transaction_date,shares,value,price,company,role,filing_date,source,section,x,owned,δown,1d,1w,1m,6m,page,scraped_at
Pomel Olivier,DDOG,S - Sale+OE,2025-10-07,-122482,"-$19,862,810",$162.17,"Datadog, Inc.",CEO,2025-10-09 16:35:47,openinsider,ceo_sales_100k,DM,533358,-19%,,,,,1,2025-10-14T11-58-19Z
Dines Daniel,PATH,S - Sale,2025-10-09,-122734,"-$2,034,230",$16.57,"Uipath, Inc.","CEO, COB, 10%",2025-10-09 16:32:24,openinsider,ceo_sales_100k,,30772255,0%,,,,,1,2025-10-14T11-58-19Z
Quezada Carlos R.,CSV,S - Sale,2025-10-07,-4250,"-$196,095",$46.14,Carriage Services Inc,CEO,2025-10-09 16:32:15,openinsider,ceo_sales_100k,,94151,-4%,,,,,1,2025-10-14T11-58-19Z
Burnison Gary D,KFY,S - Sale,2025-10-07,-60136,"-$4,245,744",$70.60,Korn Ferry,CEO,2025-10-09 16:30:04,openinsider,ceo_sales_100k,M,215306,-22%,,,,,1,2025-10-14T11-58-19Z
Shlomi Ben Haim,FROG,S - Sale,2025-10-07,-15000,"-$721,217",$48.08,Jfrog Ltd,CEO,2025-10-09 16:15:05,openinsider,ceo_sales_100k,,4884152,0%,,,,,1,2025-10-14T11-58-19Z
Bialecki Andrew,KVYO,S - Sale+OE,2025-10-07,-159508,"-$4,035,088",$25.30,"Klaviyo, Inc.","CEO, 10%",2025-10-09 16:01:41,openinsider,ceo_sales_100k,D,0,-100%,,,,,1,2025-10-14T11-58-19Z
Farrell Michael J.,RMD,S - Sale+OE,2025-10-07,-8009,"-$2,265,332",$282.85,Resmed Inc,CEO,2025-10-09 11:03:59,openinsider,ceo_sales_100k,D,469882,-2%,,,,,1,2025-10-14T11-58-19Z
Weingarten Tomer,S,S - Sale+OE,2025-10-06,-57941,"-$1,043,830",$18.02,"Sentinelone, Inc.","Pres, CEO",2025-10-09 07:24:44,openinsider,ceo_sales_100k,D,1283939,-4%,,,,,1,2025-10-14T11-58-19Z
Chiplock Mark,AMRC,S - Sale+OE,2025-10-06,-15600,"-$613,787",$39.35,"Ameresco, Inc.","EVP, CFO, CAO",2025-10-08 21:16:56,openinsider,ceo_sales_100k,DM,1189,-93%,,,,,1,2025-10-14T11-58-19Z
Tabuteau Herriot,AXSM,S - Sale+OE,2025-10-06,-45384,"-$5,418,060",$119.38,"Axsome Therapeutics, Inc.","CEO, 10%",2025-10-08 21:08:08,openinsider,ceo_sales_100k,DM,7351729,-1%,,,,,1,2025-10-14T11-58-19Z
Mintz Brandon Taylor,BTM,S - Sale+OE,2025-10-06,-1740524,"-$6,416,393",$3.69,Bitcoin Depot Inc.,CEO,2025-10-08 21:04:22,openinsider,ceo_sales_100k,DM,0,-100%,,,,,1,2025-10-14T11-58-19Z
Venker Eric,ROIV,S - Sale+OE,2025-10-06,-665159,"-$10,781,813",$16.21,Roivant Sciences Ltd.,"Pres, Immunovant CEO",2025-10-08 21:00:39,openinsider,ceo_sales_100k,DM,1504959,-31%,,,,,1,2025-10-14T11-58-19Z
Burke James A,VST,S - Sale+OE,2025-10-06,-42744,"-$8,728,944",$204.21,Vistra Corp.,"Pres, CEO",2025-10-08 20:52:52,openinsider,ceo_sales_100k,DM,1000102,-4%,,,,,1,2025-10-14T11-58-19Z
Remer Eric Richard,EVCM,S - Sale,2025-10-07,-19200,"-$212,150",$11.05,Evercommerce Inc.,CEO,2025-10-08 20:19:21,openinsider,ceo_sales_100k,,9262986,0%,,,,,1,2025-10-14T11-58-19Z
Powell Mary,RUN,S - Sale,2025-10-06,-11699,"-$226,301",$19.34,Sunrun Inc.,CEO,2025-10-08 20:17:38,openinsider,ceo_sales_100k,,876590,-1%,,,,,1,2025-10-14T11-58-19Z
Abajian Danny,RUN,S - Sale,2025-10-06,-9055,"-$175,194",$19.35,Sunrun Inc.,CFO,2025-10-08 20:17:32,openinsider,ceo_sales_100k,,625121,-1%,,,,,1,2025-10-14T11-58-19Z
Sinclair Jack,SFM,S - Sale+OE,2025-10-06,-8090,"-$827,065",$102.23,"Sprouts Farmers Market, Inc.",CEO,2025-10-08 19:12:36,openinsider,ceo_sales_100k,DM,174740,-4%,,,,,1,2025-10-14T11-58-19Z
Garcia Ernest C. III,CVNA,S - Sale,2025-10-07,-10000,"-$3,703,438",$370.34,Carvana Co.,"CEO, 10%",2025-10-08 18:42:00,openinsider,ceo_sales_100k,,1733576,-1%,,,,,1,2025-10-14T11-58-19Z
Garcia Ernest C. III,CVNA,S - Sale,2025-10-06,-10000,"-$3,720,701",$372.07,Carvana Co.,"CEO, 10%",2025-10-08 18:38:58,openinsider,ceo_sales_100k,,1743576,-1%,,,,,1,2025-10-14T11-58-19Z
Goel Rajeev K.,PUBM,S - Sale+OE,2025-10-06,-44000,"-$371,862",$8.45,"Pubmatic, Inc.","CEO, 10%",2025-10-08 18:16:16,openinsider,ceo_sales_100k,D,0,-100%,,,,,1,2025-10-14T11-58-19Z
Ashish Arora,CRCT,S - Sale,2025-10-06,-63750,"-$363,061",$5.70,"Cricut, Inc.","CEO, 10%",2025-10-08 18:08:20,openinsider,ceo_sales_100k,M,2717811,-2%,,,,,1,2025-10-14T11-58-19Z
