ticker,transaction_type,transaction_date,shares,value,price,company,filing_date,source,section,x,industry,ins,owned,δown,1d,1w,1m,6m,page,scraped_at
MBIN,P - Purchase,2025-09-15,24853,"+$753,549",$30.32,Merchants Bancorp,2025-09-18 08:29:56,openinsider,cluster_buys,,State Commercial Banks,3,185334,+15%,,,,,1,2025-10-14T11-58-10Z
MSTR,P - Purchase,2025-09-15,265355,"+$24,044,920",$90.61,Strategy Inc,2025-09-16 16:30:04,openinsider,cluster_buys,,Finance Services,8,388814,+215%,,,,,1,2025-10-14T11-58-10Z
BUSE,P - Purchase,2025-08-19,52200,"+$1,301,928",$24.94,First Busey Corp /Nv/,2025-09-16 08:31:45,openinsider,cluster_buys,DM,State Commercial Banks,4,857203,+6%,,,,,1,2025-10-14T11-58-10Z
SI,P - Purchase,2025-08-01,787932,"+$11,822,807",$15.00,"Shoulder Innovations, Inc.",2025-09-15 16:25:01,openinsider,cluster_buys,DM,Surgical & Medical Instruments & Apparatus,8,11463775,+7%,,,,,1,2025-10-14T11-58-10Z
MTDR,P - Purchase,2025-09-12,1600,"+$76,846",$48.03,Matador Resources Co,2025-09-15 16:17:21,openinsider,cluster_buys,,Crude Petroleum & Natural Gas,2,235145,+1%,,,,,1,2025-10-14T11-58-10Z
AARD,P - Purchase,2025-09-10,26000,"+$209,094",$8.04,"Aardvark Therapeutics, Inc.",2025-09-12 20:28:02,openinsider,cluster_buys,M,Pharmaceutical Preparations,2,3112896,+1%,,,,,1,2025-10-14T11-58-10Z
ENOV,P - Purchase,2025-08-20,22157,"+$663,760",$29.96,Enovis Corp,2025-09-11 17:59:16,openinsider,cluster_buys,,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",4,426043,+5%,,,,,1,2025-10-14T11-58-10Z
PRGO,P - Purchase,2025-09-08,18953,"+$432,950",$22.84,Perrigo Co Plc,2025-09-10 16:19:48,openinsider,cluster_buys,,Pharmaceutical Preparations,5,242621,+8%,,,,,1,2025-10-14T11-58-10Z
ACDC,P - Purchase,2025-09-08,5043297,"+$20,164,578",$4.00,Profrac Holding Corp.,2025-09-09 17:00:07,openinsider,cluster_buys,,Oil & Gas Field Services,3,88047430,+6%,,,,,1,2025-10-14T11-58-10Z
CE,P - Purchase,2025-09-08,8456,"+$354,206",$41.89,Celanese Corp,2025-09-09 16:38:19,openinsider,cluster_buys,,"Plastic Material, Synth Resin/Rubber, Cellulos (No Glass)",5,72183,+13%,,,,,1,2025-10-14T11-58-10Z
SFD,P - Purchase,2025-09-08,1834253,"+$42,646,382",$23.25,Smithfield Foods Inc,2025-09-09 16:23:44,openinsider,cluster_buys,,Meat Packing Plants,7,5509777,+50%,,,,,1,2025-10-14T11-58-10Z
AFCG,P - Purchase,2025-09-08,1024683,"+$4,565,554",$4.46,Advanced Flower Capital Inc.,2025-09-08 17:22:15,openinsider,cluster_buys,M,Real Estate,2,5479887,+23%,,,,,1,2025-10-14T11-58-10Z
NIQ,P - Purchase,2025-09-03,48000,"+$831,560",$17.32,Niq Global Intelligence Plc,2025-09-08 16:31:24,openinsider,cluster_buys,,"Computer Programming, Data Processing, Etc.",4,665067,+8%,,,,,1,2025-10-14T11-58-10Z
SBH,P - Purchase,2025-09-04,12800,"+$163,129",$12.74,"Sally Beauty Holdings, Inc.",2025-09-08 09:00:05,openinsider,cluster_buys,,Retail Stores,4,380577,+3%,,,,,1,2025-10-14T11-58-10Z
NVCR,P - Purchase,2025-09-05,101550,"+$1,228,659",$12.10,Novocure Ltd,2025-09-08 07:10:52,openinsider,cluster_buys,,Surgical & Medical Instruments & Apparatus,2,578719,+21%,,,,,1,2025-10-14T11-58-10Z
TPVG,P - Purchase,2025-09-02,1077383,"+$7,040,539",$6.53,Triplepoint Venture Growth Bdc Corp.,2025-09-04 16:38:59,openinsider,cluster_buys,M,Closed-End Funds,2,1712612,+170%,,,,,1,2025-10-14T11-58-10Z
SHEN,P - Purchase,2025-09-02,1219358,"+$16,616,659",$13.63,Shenandoah Telecommunications Co/Va/,2025-09-04 16:30:32,openinsider,cluster_buys,M,Telephone Communications (No Radiotelephone),3,8880266,+16%,,,,,1,2025-10-14T11-58-10Z
BLSK,P - Purchase,2025-09-02,24314,"+$86,291",$3.55,"Bolt Projects Holdings, Inc.",2025-09-03 19:32:35,openinsider,cluster_buys,,Industrial Organic Chemicals,2,66052,+58%,,,,,1,2025-10-14T11-58-10Z
COTY,P - Purchase,2025-09-03,334900,"+$1,320,909",$3.94,Coty Inc.,2025-09-03 19:00:40,openinsider,cluster_buys,M,"Perfumes, Cosmetics & Other Toilet Preparations",4,33399153,+1%,,,,,1,2025-10-14T11-58-10Z
SNV,P - Purchase,2025-08-28,16314,"+$804,055",$49.29,Synovus Financial Corp,2025-08-29 17:17:39,openinsider,cluster_buys,,National Commercial Banks,7,358494,+5%,,,,,1,2025-10-14T11-58-10Z
EMN,P - Purchase,2025-08-27,28418,"+$1,944,932",$68.44,Eastman Chemical Co,2025-08-29 16:01:38,openinsider,cluster_buys,D,"Plastic Materials, Synth Resins & Nonvulcan Elastomers",11,676926,+4%,,,,,1,2025-10-14T11-58-10Z
LKQ,P - Purchase,2025-08-28,25669,"+$820,104",$31.95,Lkq Corp,2025-08-29 13:25:47,openinsider,cluster_buys,,Motor Vehicles & Motor Vehicle Parts & Supplies,3,341287,+8%,,,,,1,2025-10-14T11-58-10Z
EBC,P - Purchase,2025-08-27,100149,"+$1,682,711",$16.80,"Eastern Bankshares, Inc.",2025-08-29 10:05:42,openinsider,cluster_buys,,"Savings Institution, Federally Chartered",5,937725,+12%,,,,,1,2025-10-14T11-58-10Z
